fine_graining_parameter_l,num_data_qubits,num_logical_qubits,embedded_distance,em3_distance,sd6_distance,dp1_distance,seed_tiling_vertex_configuration,seed_tiling_id
2,1344,44,6,,,12,8.8.8,4acdedef
3,3024,44,9,,,18,8.8.8,4acdedef
4,5376,44,12,,,24,8.8.8,4acdedef
5,8400,44,15,,,30,8.8.8,4acdedef
6,12096,44,18,,,36,8.8.8,4acdedef
7,16464,44,21,,,42,8.8.8,4acdedef
8,21504,44,24,,,,8.8.8,4acdedef
9,27216,44,27,,,,8.8.8,4acdedef
10,33600,44,30,,,,8.8.8,4acdedef
1,336,44,4,4,6,6,8.8.8,7ab523d3
2,1344,44,7,,,14,8.8.8,7ab523d3
3,3024,44,10,,,20,8.8.8,7ab523d3
4,5376,44,14,,,26,8.8.8,7ab523d3
5,8400,44,17,,,34,8.8.8,7ab523d3
6,12096,44,20,,,40,8.8.8,7ab523d3
7,16464,44,24,,,,8.8.8,7ab523d3
8,21504,44,27,,,,8.8.8,7ab523d3
9,27216,44,30,,,,8.8.8,7ab523d3
10,33600,44,34,,,,8.8.8,7ab523d3
1,512,66,4,4,6,8,8.8.8,5f458c39
2,2048,66,8,,,16,8.8.8,5f458c39
3,4608,66,12,,,24,8.8.8,5f458c39
4,8192,66,16,,,32,8.8.8,5f458c39
5,12800,66,20,,,,8.8.8,5f458c39
6,18432,66,24,,,,8.8.8,5f458c39
7,25088,66,28,,,,8.8.8,5f458c39
8,32768,66,32,,,,8.8.8,5f458c39
9,41472,66,36,,,,8.8.8,5f458c39
10,51200,66,40,,,,8.8.8,5f458c39
1,720,92,4,4,6,8,8.8.8,bf0fbb9d
2,2880,92,8,,,16,8.8.8,bf0fbb9d
3,6480,92,12,,,24,8.8.8,bf0fbb9d
4,11520,92,16,,,32,8.8.8,bf0fbb9d
5,18000,92,20,,,,8.8.8,bf0fbb9d
6,25920,92,24,,,,8.8.8,bf0fbb9d
7,35280,92,28,,,,8.8.8,bf0fbb9d
8,46080,92,32,,,,8.8.8,bf0fbb9d
9,58320,92,36,,,,8.8.8,bf0fbb9d
1,1024,130,4,4,6,8,8.8.8,e3835ba7
2,4096,130,8,,,16,8.8.8,e3835ba7
3,9216,130,12,,,24,8.8.8,e3835ba7
4,16384,130,16,,,,8.8.8,e3835ba7
5,25600,130,20,,,,8.8.8,e3835ba7
6,36864,130,24,,,,8.8.8,e3835ba7
7,50176,130,28,,,,8.8.8,e3835ba7
1,1296,164,4,4,6,6,8.8.8,320f9a06
2,5184,164,8,,,16,8.8.8,320f9a06
3,11664,164,12,,,24,8.8.8,320f9a06
4,20736,164,16,,,,8.8.8,320f9a06
5,32400,164,20,,,,8.8.8,320f9a06
6,46656,164,24,,,,8.8.8,320f9a06
1,1344,170,6,,,8,8.8.8,7af0d512
2,5376,170,10,,,18,8.8.8,7af0d512
3,12096,170,14,,,,8.8.8,7af0d512
4,21504,170,19,,,,8.8.8,7af0d512
5,33600,170,24,,,,8.8.8,7af0d512
6,48384,170,28,,,,8.8.8,7af0d512
1,1344,170,6,,6,6,8.8.8,7dbca320
2,5376,170,8,,,16,8.8.8,7dbca320
3,12096,170,12,,,24,8.8.8,7dbca320
4,21504,170,16,,,,8.8.8,7dbca320
5,33600,170,20,,,,8.8.8,7dbca320
6,48384,170,24,,,,8.8.8,7dbca320
1,3600,182,8,,,16,4.10.10,aa6aadf8
2,14400,182,13,,,,4.10.10,aa6aadf8
3,32400,182,18,,,,4.10.10,aa6aadf8
1,7200,182,10,,,16,4.10.8,76bb808e
2,28800,182,18,,,,4.10.8,76bb808e
1,2048,258,4,4,,8,8.8.8,5b1605b2
2,8192,258,8,,,16,8.8.8,5b1605b2
3,18432,258,12,,,,8.8.8,5b1605b2
4,32768,258,16,,,,8.8.8,5b1605b2
5,51200,258,20,,,,8.8.8,5b1605b2
1,2048,258,4,4,,8,8.8.8,53e5d08a
2,8192,258,8,,,16,8.8.8,53e5d08a
3,18432,258,12,,,,8.8.8,53e5d08a
4,32768,258,16,,,,8.8.8,53e5d08a
5,51200,258,20,,,,8.8.8,53e5d08a
1,2048,258,4,4,6,8,8.8.8,6c98402f
2,8192,258,8,,,16,8.8.8,6c98402f
3,18432,258,12,,,,8.8.8,6c98402f
4,32768,258,16,,,,8.8.8,6c98402f
5,51200,258,20,,,,8.8.8,6c98402f
1,2160,272,5,,,10,8.8.8,39699849
2,8640,272,10,,,18,8.8.8,39699849
3,19440,272,14,,,,8.8.8,39699849
4,34560,272,19,,,,8.8.8,39699849
5,54000,272,24,,,,8.8.8,39699849
1,2688,338,6,,,8,8.8.8,3e93f8ed
2,10752,338,10,,,18,8.8.8,3e93f8ed
3,24192,338,14,,,,8.8.8,3e93f8ed
4,43008,338,19,,,,8.8.8,3e93f8ed
1,2688,338,6,,,6,8.8.8,bcb6cf22
2,10752,338,9,,,,8.8.8,bcb6cf22
3,24192,338,12,,,,8.8.8,bcb6cf22
4,43008,338,18,,,,8.8.8,bcb6cf22
1,2880,362,4,,,8,8.8.8,c4f6d8da
2,11520,362,8,,,16,8.8.8,c4f6d8da
3,25920,362,12,,,,8.8.8,c4f6d8da
4,46080,362,16,,,,8.8.8,c4f6d8da
1,3888,488,4,,,6,8.8.8,c167bcac
2,15552,488,8,,,16,8.8.8,c167bcac
3,34992,488,12,,,,8.8.8,c167bcac
1,3888,488,4,,,6,8.8.8,5b377ded
2,15552,488,8,,,16,8.8.8,5b377ded
3,34992,488,12,,,,8.8.8,5b377ded
1,10240,514,9,,,,4.10.10,950b9af4
2,40960,514,14,,,,4.10.10,950b9af4
1,4096,514,4,,,8,8.8.8,47f83d55
2,16384,514,8,,,16,8.8.8,47f83d55
3,36864,514,12,,,,8.8.8,47f83d55
1,4096,514,4,,,8,8.8.8,a15325a7
2,16384,514,8,,,16,8.8.8,a15325a7
3,36864,514,12,,,,8.8.8,a15325a7
1,4896,614,6,,,10,8.8.8,decb28c6
2,19584,614,10,,,,8.8.8,decb28c6
3,44064,614,14,,,,8.8.8,decb28c6
1,4896,614,6,,,10,8.8.8,a04c0780
2,19584,614,10,,,,8.8.8,a04c0780
3,44064,614,14,,,,8.8.8,a04c0780
1,5184,650,4,,,8,8.8.8,d53d4a72
2,20736,650,8,,,,8.8.8,d53d4a72
3,46656,650,12,,,,8.8.8,d53d4a72
1,5376,674,6,,,8,8.8.8,837c5cbe
2,21504,674,8,,,,8.8.8,837c5cbe
3,48384,674,12,,,,8.8.8,837c5cbe
1,5376,674,6,,,8,8.8.8,ce338ef7
2,21504,674,12,,,,8.8.8,ce338ef7
3,48384,674,15,,,,8.8.8,ce338ef7
1,5760,722,6,,,10,8.8.8,ac1a5e8c
2,23040,722,11,,,,8.8.8,ac1a5e8c
3,51840,722,16,,,,8.8.8,ac1a5e8c
1,19200,962,10,,,,4.10.10,0b9f7754
